成绩,频率
2336,130
2340,107
2344,124
2348,107
2352,130
2356,123
2360,130
2364,106
2368,111
2372,120
2376,127
2380,118
2384,118
2388,113
2392,139
2396,128
2400,109
2404,127
2408,123
2412,100
2416,121
2420,114
2424,111
2428,123
2432,97
2436,98
2440,99
2444,108
2448,114
2452,78
2456,108
2460,116
2464,101
2468,106
2472,81
2476,104
2480,116
2484,112
2488,133
2492,118
2496,127
2500,115
2504,115
2508,139
2512,122
2516,123
2520,145
2524,116
2528,117
2532,118
2536,91
2540,94
2544,112
2548,91
2552,94
2556,84
2560,68
2564,77
2568,71
2572,73
2576,65
2580,72
2584,61
2588,71
2592,54
2596,54
2600,45
2604,50
2608,43
2612,44
2616,34
2620,53
2624,50
2628,36
2632,44
2636,39
2640,42
2644,34
2648,29
2652,34
2656,30
2660,39
2664,30
2668,41
2672,25
2676,28
2680,34
2684,25
2688,27
2692,32
2696,19
2700,22
2704,22
2708,32
2712,23
2716,24
2720,22
2724,29
2728,25
2732,15
2736,17
2740,25
2744,16
2748,27
2752,15
2756,23
2760,18
2764,21
2768,24
2772,28
2776,28
2780,16
2784,13
2788,21
2792,14
2796,21
2800,15
2804,11
2808,21
2812,12
2816,18
2820,9
2824,7
2828,8
2832,9
2836,9
2840,11
2844,7
2848,8
2852,4
2856,4
2860,4
2864,8
2868,5
2872,8
2876,5
2880,4
2884,6
2888,4
2892,5
2896,3
2904,3
2908,5
2916,3
2920,2
2928,3
2932,2
2936,3
2944,2
2948,4
2952,3
2956,2
2960,2
2968,4
2972,5
2976,3
2980,2
3004,2
3012,2
3016,2
3020,2
3052,2
3072,2
3080,2
3092,2
3104,2
3116,2
3148,2
3176,2
3184,2
3356,2
3372,2
3400,2
3432,2
3816,2
3864,2
3872,2
3900,2
3996,3
4200,2
4228,3
4648,2
